127.0.0.1 - - [09/Apr/2023:11:44:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2023:11:44:59 +0530] "GET /databinding-dynamic2/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Apr/2023:11:45:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2023:11:45:29 +0530] "GET /databinding-dynamic2/controller/signupform HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [09/Apr/2023:11:46:35 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [09/Apr/2023:11:56:06 +0530] "GET /databinding-dynamic2/controller/signupform HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [09/Apr/2023:11:56:27 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:01:16 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:01:50 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:01:54 +0530] "GET /databinding-dynamic2/controller/signupform HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:02:22 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:21 +0530] "GET /databinding-dynamic2/controller/signupform HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:46 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:06:38 +0530] "GET /databinding-dynamic2/controller/signupform HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:07:00 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:07:34 +0530] "GET /databinding-dynamic2/controller/signupform HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:07:58 +0530] "POST /databinding-dynamic2/controller/signup HTTP/1.1" 200 2172
